ship_id,is_old,tier,type_id,nation_id,rarity_id,premium,special,index,default,zh_cn,zh_sg,zh_tw,en_short,en_full,ja,ru
3765319664,0,5,4,1,2,1,0,PASD505,Hill,希尔,希尔,Hill,Hill,Hill,Hill,Hill
3760142032,0,10,2,2,3,0,1,PJSB510,Shikishima,鲙,敷岛,Shikishima,Shikishima,Shikishima,敷島,Shikishima
3553572848,0,7,2,1,2,1,0,PASB707,California,加利福尼亚,加利福尼亚,California,California,California,California,California
3354310384,0,7,3,7,3,1,0,PISC897,Azur_Gorizia,AL 戈里齐亚,AL 戈里齐亚,AL Gorizia,AL Gorizia,AL Gorizia,AL Gorizia,AL Gorizia
3756963280,0,3,3,5,2,1,0,PRSC513,Varyag,瓦良格,瓦良格,Varyag,Varyag,Varyag,Varyag,Варяг
3341694416,0,9,4,5,,1,0,PRSD909,Black_Neustrashimy,不惧 (黑),不惧 B,Neustrashimy B,Neustrashimy B,Neustrashimy B,Neustrashimy B,Неустрашимый B
3655251408,0,10,3,5,3,0,1,PRSC610,Smolensk,斯摩棱斯克,斯摩棱斯克,Smolensk,Smolensk,Smolensk,Smolensk,Смоленск
4186912208,0,3,2,5,1,0,0,PRSB103,Knyaz_Suvorov,苏沃洛夫公爵,苏沃洛夫公爵,Knyaz Suvorov,Knyaz Suvorov,Knyaz Suvorov,Knyaz Suvorov,Князь Суворов
4181669616,0,8,2,7,1,0,0,PISB108,Vittorio_Veneto,维托里奥·维内托,维托里奥·维内托,V. Veneto,V. Veneto,Vittorio Veneto,V. Veneto,V. Veneto
3550394096,0,10,3,7,1,0,0,PISC710,Varese,瓦雷泽,瓦雷泽,Varese,Varese,Varese,Varese,Varese
4259264496,0,6,2,1,1,0,0,PASB034,New_Mexico_1941,新墨西哥,新墨西哥,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico
3542005712,0,8,3,4,,1,0,PBSC718,STPatric_Tiger_1959,厄恩,厄恩,Érne,Érne,Érne,Érne,Érne
4078876624,0,6,3,4,1,0,0,PBSC206,Devonshire,德文郡,德文郡,Devonshire,Devonshire,Devonshire,Devonshire,Devonshire
4184815408,0,5,2,3,1,0,0,PGSB105,Koenig,国王,国王,König,König,König,König,König
4179605296,0,10,1,3,1,0,0,PGSA110,Manfred_Richthofen,M·里希特霍芬,M.里希特霍芬,M. Richthofen,M. Richthofen,Manfred von Richthofen,M. Richthofen,M. Richthofen
3753850320,0,6,2,5,2,1,0,PRSB516,Novorossiysk,新罗西斯克,新罗西斯克,Novorossiysk,Novorossiysk,Novorossiysk,Novorossiysk,Новороссийск
3550426576,0,10,2,5,2,0,1,PRSB710,Sibir,西伯利亚,西伯利亚,Sibir,Sibir,Sibir,Sibir,Сибирь
4074648880,0,10,4,9,1,0,0,PWSD210,Gdansk,格但斯克,格但斯克,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Gdańsk
3550426832,0,10,2,2,,0,1,PJSB710,FBO_Yamato,鲸落,大和·魁,Yamato Kai,Yamato Kai,Yamato Kai,大和・魁,Yamato Kai
4180588304,0,9,3,10,1,0,0,PHSC109,Johan_de_Witt,约翰·德·威特,约翰·德·维特,Johan de Witt,Johan de Witt,Johan de Witt,Johan de Witt,Johan de Witt
3550394352,0,10,3,1,2,0,1,PASC710,Salem,塞勒姆,塞勒姆,Salem,Salem,Salem,Salem,Salem
3499013840,0,9,3,2,,1,0,PJSC759,VL_Suzuya,猿 VL,铃谷 VL,Suzuya VL,Suzuya VL,Suzuya VL,鈴谷 VL,Suzuya VL
3560912592,0,10,2,2,3,0,1,PJSB700,ARP_Yamato,ARP 鲸,ARP 大和,ARP Yamato,ARP Yamato,ARP Yamato,ARP 大和,ARP Yamato
3750639568,0,9,4,4,3,1,0,PBSD519,Somme,索姆河,索姆河,Somme,Somme,Somme,Somme,Somme
4288657392,1,6,1,1,1,0,1,PASA006,Independence_1945,独立,独立（旧）,Independence (old),Independence (old),Independence (< 23.01.2019),Independence (old),Independence (old)
4074682192,0,10,3,6,1,0,0,PFSC210,Marseille,马赛,马赛,Marseille,Marseille,Marseille,Marseille,Marseille
3666818896,0,9,2,6,3,1,0,PFSB599,Black_Jean_Bart,让·巴尔 (黑),让·巴尔 B,Jean Bart B,Jean Bart B,Jean Bart B,Jean Bart B,Jean Bart B
3352213296,0,9,3,3,3,1,0,PGSC899,AZUR_Aegir,AL 埃吉尔,AL 埃吉尔,AL Ägir,AL Ägir,AL Ägir,AL Ägir,AL Ägir
3540924112,0,9,4,2,2,1,0,PJSD719,Minegumo,荷,峰云,Minegumo,Minegumo,Minegumo,峯雲,Minegumo
3445536208,0,10,3,5,3,0,1,PRSC810,Komissar,科米萨尔,科米萨尔,Komissar,Komissar,Komissar,Komissar,Комиссар
4183733456,0,6,3,8,1,0,0,PZSC106,Rahmat,拉马特,拉赫马特,Rahmat,Rahmat,Rahmat,Rahmat,Rahmat
4182685104,0,7,3,13,1,0,0,PSSC107,Asturias,阿斯图里亚斯,阿斯图里亚斯,Asturias,Asturias,Asturias,Asturias,Asturias
3730782192,0,8,2,1,2,1,0,PASB538,Constellation,星座,星座,Constellation,Constellation,Constellation,Constellation,Constellation
4287543280,1,6,3,1,1,0,1,PASC007,Cleveland_1945,克利夫兰,克利夫兰（旧）,Cleveland (old),Cleveland (old),Cleveland (< 31.05.2018),Cleveland (old),Cleveland (old)
4183799248,0,6,1,5,1,0,0,PRSA106,Serov,谢罗夫,谢罗夫,Serov,Serov,Serov,Serov,Серов
